"X","State","Agency_Type","Agency_Name","Population","Region","codes","Total_Offenses","Crimes_Against_Persons","Crimes_Against_Property","Crimes_Against_Society","Crimes_Against_Persons.1","Aggravated_Assault","Simple_Assault","Intimidation","Homicide_Offenses","Murder_and_Nonnegligent_Manslaughter","Negligent_Manslaughter","Justifiable_Homicide","Kidnapping__Abduction","Sex_Offenses","Rape","Sodomy","Sexual_Assault_With_An_Object","Fondling","Sex_Offenses._Nonforcible","Incest","Statutory_Rape","Arson","Bribery","Burglary__Breaking_._Entering","Counterfeiting__Forgery","Destruction__Damage__Vandalism","Embezzlement","Extortion__Blackmail","Fraud_Offenses","False_Pretenses__Swindle__Confidence_Game","Credit_Card__Automated_Teller_Machine_Fraud","Impersonation","Welfare_Fraud","Wire_Fraud","LarcenyTheft_Offenses","Pocketpicking","Pursesnatching","Shoplifting","Theft_From_Building","Theft_From_Coinoperated_Machine","Theft_From_Motor_Vehicle","Theft_of_Motor_Vehicle_Parts_or_Accessories","All_Other_Larceny","Motor_Vehicle_Theft","Robbery","Stolen_Property_Offenses_","Drug__Narcotic_Offenses","Drug__Narcotic_Violations","Drug_Equipment_Violations","Gambling_Offenses","Betting__Wagering","Operating__Promoting__Assisting_Gambling","Gambling_Equipment_Violations","Sports_Tampering","Pornography__Obscene_Material","Prostitution_Offenses","Prostitution","Assisting_or_Promoting_Prostitution","Weapon_Law_Violations"
0,"Alabama","Cities","Hoover",82332,"South Central (East)","AL",0.0522761502210562,0.0109192051693145,0.034980323567993,0.00637662148374872,0.0105669727444979,0.000303648642083273,0.00721469173589856,0.00304863236651606,2.42918913666618e-05,2.42918913666618e-05,NA,NA,2.42918913666618e-05,0.000303648642083273,0.000157897293883302,3.64378370499927e-05,NA,0.000109313511149978,NA,NA,NA,1.21459456833309e-05,NA,0.00474906476218238,0.0006680270125832,0.00340086479133265,0.000850216197833163,NA,0.00245348102803284,0.000461545935966574,0.00132390807948307,0.0006680270125832,NA,NA,0.0208667346839625,0.000121459456833309,2.42918913666618e-05,0.006680270125832,0.00497983773016567,4.85837827333236e-05,0.00507700529563232,0.00154253510178302,0.00239275129961619,0.00106884322013312,0.000558713501433222,0.000352232424816596,0.0060122431132488,0.00411747558664918,0.00189476752659962,NA,NA,NA,NA,NA,4.85837827333236e-05,NA,NA,NA,0.000315794587766604
1,"Arizona","Cities","Apache Junction",36986,"West Mountain","AZ",0.0728113340182772,0.016519764235116,0.0472611258313957,0.00903044395176553,0.015113826853404,0.00259557670469908,0.0103011950467745,0.00221705510193046,2.70372573406154e-05,2.70372573406154e-05,NA,NA,0.000378521602768615,0.000946304006921538,0.000351484345428,NA,NA,0.000594819661493538,5.40745146812307e-05,NA,5.40745146812307e-05,2.70372573406154e-05,NA,0.00640782998972584,0.00156816092575569,0.0120856540312551,NA,2.70372573406154e-05,0.00438003568917969,0.001405937381712,0.00167630995511815,0.00129778835234954,NA,NA,0.0196020115719461,NA,NA,0.00521819066673877,0.000324447088087384,2.70372573406154e-05,0.001405937381712,0.001405937381712,0.0112204617963554,0.00183853349916184,0.000567782404152923,0.00075704320553723,0.00832747526090953,0.00410966311577354,0.004217812145136,NA,NA,NA,NA,NA,2.70372573406154e-05,NA,NA,NA,0.000675931433515384
2,"Arizona","Cities","Gilbert",214264,"West Mountain","AZ",0.0474461412089758,0.00651532688645783,0.0308497927790016,0.0100810215435164,0.00579658738752194,0.000574058171228018,0.004163088526304,0.00105944068998992,2.33356980173991e-05,2.33356980173991e-05,NA,NA,0.00025202553858791,0.000368704028674906,8.86756524661166e-05,9.33427920695964e-06,NA,0.00027069409700183,7.46742336556771e-05,NA,7.46742336556771e-05,0.000116678490086995,9.33427920695964e-06,0.00339767763133331,0.000760743755367211,0.010748422506814,9.33427920695964e-05,1.86685584139193e-05,0.00226822984729119,0.000606728148452377,0.000700070940521973,0.000961430758316843,NA,NA,0.0118965388492701,4.66713960347982e-06,4.20042564313184e-05,0.00294963222939925,0.000448045401934063,1.40014188104395e-05,0.00336034051450547,0.000163349886121794,0.00491449800246425,0.000798080872195049,0.000275361236605309,0.000466713960347982,0.00965631183959975,0.00456912967180674,0.005087182167793,NA,NA,NA,NA,NA,7.46742336556771e-05,NA,NA,NA,0.000350035470260986
3,"Arizona","Metropolitan Counties","Yuma2",NA,"West Mountain","AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Arkansas","Cities","Alma",5439,"South Central (West)","AR",0.143408714837286,0.0371391799963229,0.0932156646442361,0.0130538701967273,0.0362198933627505,0.00202243059385917,0.0198565912851627,0.0143408714837286,NA,NA,NA,NA,0.00018385732671447,0.000735429306857878,0.000551571980143409,NA,NA,0.00018385732671447,NA,NA,NA,0.00018385732671447,NA,0.0182018753447325,0.00275785990071704,0.0178341606913035,NA,NA,0.0023901452472881,0.00018385732671447,0.0018385732671447,0.000367714653428939,NA,NA,0.0487221915793344,NA,0.000367714653428939,0.0108475822761537,0.00717043574186431,NA,0.00717043574186431,NA,0.0231660231660232,0.00128700128700129,0.00018385732671447,0.00165471594043023,0.012134583563155,0.00808972237543666,0.00404486118771833,NA,NA,NA,NA,NA,0.00018385732671447,NA,NA,NA,0.000735429306857878
5,"Arkansas","Cities","Arkadelphia",10698,"South Central (West)","AR",0.0888951205832866,0.0271078706300243,0.056926528323051,0.00486072163021125,0.0256122639745747,0.00327163955879604,0.016638624041877,0.00570200037390166,0.000467377079828005,0.000467377079828005,NA,NA,0.000373901663862404,0.000654327911759207,0.000467377079828005,0.000186950831931202,NA,NA,NA,NA,NA,9.3475415965601e-05,NA,0.00990839409235371,0.00177603290334642,0.0090671153486633,NA,NA,0.00317816414283044,0.00149560665544962,0.00140213123948402,0.000280426247896803,NA,NA,0.0317816414283044,NA,9.3475415965601e-05,0.00635632828566087,0.00467377079828005,NA,0.00317816414283044,0.000280426247896803,0.0171994765376706,0.000654327911759207,0.000280426247896803,0.000186950831931202,0.00411291830248645,0.00345859039072724,0.000654327911759207,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000747803327724808
6,"Arkansas","Cities","Ashdown",4680,"South Central (West)","AR",0.0711538461538462,0.0168803418803419,0.047008547008547,0.00726495726495727,0.0153846153846154,0.00299145299145299,0.0121794871794872,0.000213675213675214,NA,NA,NA,NA,0.000213675213675214,0.00106837606837607,0.000854700854700855,NA,NA,0.000213675213675214,0.000213675213675214,NA,0.000213675213675214,NA,NA,0.00683760683760684,0.000641025641025641,0.0111111111111111,NA,NA,0.000427350427350427,0.000213675213675214,NA,0.000213675213675214,NA,NA,0.0269230769230769,NA,NA,0.00598290598290598,0.0014957264957265,NA,0.00106837606837607,0.000427350427350427,0.0179487179487179,0.000854700854700855,0.000213675213675214,NA,0.00683760683760684,0.00555555555555556,0.00128205128205128,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000427350427350427
7,"Arkansas","Cities","Atkins",3057,"South Central (West)","AR",0.046777886817141,0.00719659797186784,0.0385999345763821,0.00098135426889107,0.00719659797186784,0.000327118089630357,0.00425253516519463,0.00261694471704285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0098135426889107,0.00196270853778214,0.00457965325482499,NA,NA,0.00098135426889107,NA,0.000327118089630357,0.000654236179260713,NA,NA,0.019299967288191,NA,0.000327118089630357,0.00130847235852143,0.00327118089630357,0.000327118089630357,0.00130847235852143,NA,0.0127576054955839,0.00130847235852143,NA,0.000654236179260713,0.00098135426889107,0.00098135426889107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"Arkansas","Cities","Austin",2076,"South Central (West)","AR",0.0582851637764933,0.00722543352601156,0.0289017341040462,0.0221579961464355,0.00674373795761079,0.000963391136801541,0.00481695568400771,0.000963391136801541,NA,NA,NA,NA,NA,0.000481695568400771,0.000481695568400771,NA,NA,NA,NA,NA,NA,NA,NA,0.00963391136801541,NA,0.00481695568400771,NA,NA,0.000481695568400771,NA,0.000481695568400771,NA,NA,NA,0.0139691714836224,NA,NA,0.000481695568400771,0.000963391136801541,NA,0.00770712909441233,NA,0.00481695568400771,NA,NA,NA,0.0211946050096339,0.0120423892100193,0.00915221579961464,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000963391136801541
9,"Arkansas","Cities","Bald Knob",2950,"South Central (West)","AR",0.107796610169492,0.0244067796610169,0.0749152542372881,0.00847457627118644,0.0240677966101695,0.00406779661016949,0.00983050847457627,0.0101694915254237,NA,NA,NA,NA,NA,0.000338983050847458,NA,NA,NA,0.000338983050847458,NA,NA,NA,NA,NA,0.0122033898305085,0.00508474576271186,0.0122033898305085,NA,NA,0.00101694915254237,NA,0.00101694915254237,NA,NA,NA,0.0355932203389831,NA,0.000338983050847458,0.00169491525423729,0.00576271186440678,0.00101694915254237,0.00474576271186441,0.000338983050847458,0.0216949152542373,0.00338983050847458,0.000338983050847458,0.00508474576271186,0.00847457627118644,0.00677966101694915,0.00169491525423729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
