"X","State","Agency_Type","Agency_Name","Population","Region","codes","Total_Offenses","Crimes_Against_Persons","Crimes_Against_Property","Crimes_Against_Society","Crimes_Against_Persons.1","Aggravated_Assault","Simple_Assault","Intimidation","Homicide_Offenses","Murder_and_Nonnegligent_Manslaughter","Negligent_Manslaughter","Justifiable_Homicide","Human_Trafficking_Offenses","Commercial_Sex_Acts","Involuntary_Servitude","Kidnapping__Abduction","Sex_Offenses","Rape","Sodomy","Sexual_Assault_With_An_Object","Fondling","Sex_Offenses._Nonforcible","Incest","Statutory_Rape","Arson","Bribery","Burglary__Breaking_._Entering","Counterfeiting__Forgery","Destruction__Damage__Vandalism_of_Property","Embezzlement","Extortion__Blackmail","Fraud_Offenses","False_Pretenses__Swindle__Confidence_Game","Credit_Card__Automated_Teller_Machine_Fraud","Impersonation","Welfare_Fraud","Wire_Fraud","Larceny__Theft_Offenses","Pocketpicking","Pursesnatching","Shoplifting","Theft_From_Building","Theft_From_Coin_Operated_Machine_or_Device","Theft_From_Motor_Vehicle","Theft_of__Motor__Vehicle_Parts_or_Accessories","All_Other_Larceny","Motor_Vehicle_Theft","Robbery","Stolen_Property_Offenses","Drug__Narcotic_Offenses","Drug__Narcotic_Violations","Drug_Equipment_Violations","Gambling_Offenses","Betting__Wagering","Operating__Promoting__Assisting_Gambling","Gambling_Equipment_Violations","Sports_Tampering","Pornography__Obscene_Material","Prostitution_Offenses","Prostitution","Assisting_or_Promoting_Prostitution","Purchasing_Prostitution","Weapon_Law_Violations"
0,"Alabama","Cities","Hoover",84139,"South Central (East)","AL",0.0556935547130344,0.00915152307491175,0.0396724467844876,0.00686958485363506,0.0089138211768621,0.000344667752172001,0.00603762821046126,0.00253152521422884,2.37701898049656e-05,2.37701898049656e-05,0,0,0,0,0,3.56552847074484e-05,0.000178276423537242,0.000106965854122345,0,0,7.13105694148968e-05,0,0,0,1.18850949024828e-05,0,0.00410035774135656,0.000760646073758899,0.00339913714211008,0.000724990789051451,2.37701898049656e-05,0.00284053768169339,0.000427863416489381,0.00168768347615256,0.000724990789051451,0,0,0.025529183850533,7.13105694148968e-05,0,0.00940111006786389,0.00534829270611726,5.9425474512414e-05,0.00599008783085133,0.00180653442517739,0.00285242277659587,0.00128359024946814,0.000415978321586898,0.000582369650221657,0.00629910029831588,0.0041478981209665,0.00215120217734939,0,0,0,0,0,5.9425474512414e-05,5.9425474512414e-05,3.56552847074484e-05,2.37701898049656e-05,0,0.000451633606294346
1,"Arizona","Cities","Gilbert",225232,"West Mountain","AZ",0.0452821979114868,0.00627797115862755,0.0287880940541309,0.0102161326987284,0.00572742771897421,0.000603821837039142,0.0039204020743056,0.00120320380762947,4.43986644881722e-06,4.43986644881722e-06,0,0,0,0,0,0.000173154791503872,0.000279711586275485,5.77182638346239e-05,4.43986644881722e-06,0,0.000217553455992044,9.32371954251616e-05,0,9.32371954251616e-05,9.76770618739788e-05,0,0.00288591319173119,0.000714818498259572,0.00924824181288627,9.32371954251616e-05,4.43986644881722e-06,0.0021666548270228,0.00063934076862968,0.000608261703487959,0.000914612488456347,4.43986644881722e-06,0,0.012120835405271,4.43986644881722e-06,1.33195993464517e-05,0.00296139092136109,0.000386268381047098,1.33195993464517e-05,0.00355189315905378,0.00019091425729914,0.00499928962136819,0.000714818498259572,0.000208673723094409,0.000532783973858066,0.00979434538609079,0.0045375435106912,0.00525680187539959,0,0,0,0,0,9.76770618739788e-05,8.87973289763444e-06,8.87973289763444e-06,0,0,0.000315230517866023
2,"Arizona","Cities","Huachuca City",1811,"West Mountain","AZ",0.0342352291551629,0.00331308669243512,0.0093870789618995,0.0215350635008283,0.00331308669243512,0,0.00331308669243512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220872446162341,0,0.00220872446162341,0,0,0,0,0,0,0,0,0.00441744892324683,0,0,0.00386526780784097,0,0,0,0.000552181115405853,0,0.000552181115405853,0,0,0.0215350635008283,0.0165654334621756,0.00496963003865268,0,0,0,0,0,0,0,0,0,0,0
3,"Arizona","Cities","Yuma",96014,"West Mountain","AZ",0.0986106192846876,0.0165809152831879,0.0699273022684192,0.0121024017330806,0.0146436977940717,0.0049471952006999,0.00780094569541942,0.00189555689795238,5.20757389547358e-05,5.20757389547358e-05,0,0,0,0,0,0.000468681650592622,0.00131230862165934,0.000343699877101256,0.00014581206907326,2.08302955818943e-05,0.000801966379902931,0.000104151477909472,1.04151477909472e-05,9.37363301185244e-05,0.000260378694773679,1.04151477909472e-05,0.00843626971066719,0.00134355406503218,0.0197783656550086,0.000374945320474098,0,0.00691565813318891,0.00255171120878205,0.00224967192284459,0.00199970837586185,0,0.000114566625700419,0.0290790926323245,0.000239548399191785,9.37363301185244e-05,0.00756139729622763,0.000833211823275772,7.29060345366301e-05,0.0056762555460662,0.00195804778469806,0.0126439894182098,0.00258295665215489,0.000676984606411565,0.000468681650592622,0.0105713750078114,0.004926364905118,0.00564501010269336,1.04151477909472e-05,0,1.04151477909472e-05,0,0,7.29060345366301e-05,3.12454433728415e-05,1.04151477909472e-05,2.08302955818943e-05,0,0.00141646009956881
4,"Arizona","Metropolitan Counties","Yuma",59699,"West Mountain","AZ",NA,0.0111224643628872,0.0417259920601685,0.00780582589323104,0.00991641401028493,0.00231159650915426,0.00616425735774469,0.00144056014338599,0.00013400559473358,0.000100504196050185,3.3501398683395e-05,0,0,0,0,0.000217759091442068,0.000519271679592623,0.000251260490125463,0,0,0.00026801118946716,0.00033501398683395,0,0.00033501398683395,0.000150756294075278,0,0.00931338883398382,0.000368515385517345,0.0110052094674953,0,3.3501398683395e-05,0.00355114826043987,0.00162481783614466,0.000837534967084876,0.00108879545721034,0,0,0.0151761336035779,0,0,0.000804033568401481,0,0,0.000820784267743178,6.70027973667901e-05,0.0134843129700665,0.00160806713680296,6.70027973667901e-05,0.000452268882225833,0.00708554582153805,0.00346739476373139,0.00361815105780666,0,0,0,0,0,0.000184257692758673,0,0,0,0,0.00053602237893432
5,"Arkansas","Cities","Arkadelphia",10829,"South Central (West)","AR",0.0790470034167513,0.0183765814017915,0.0545756764244159,0.00609474559054391,0.0175454797303537,0.00267799427463293,0.00904977375565611,0.00581771170006464,9.23446301597562e-05,9.23446301597562e-05,0,0,0,0,0,9.23446301597562e-05,0.000646412411118293,0.000461723150798781,9.23446301597562e-05,0,9.23446301597562e-05,0,0,0,0.000184689260319512,0,0.0088650844953366,0.00110813556191707,0.00951149690645489,0,0,0.00304737279527196,0.00073875704127805,0.00193923723335488,0.000369378520639025,0,0,0.0292732477606427,0,0,0.0059100563302244,0.00341675131591098,0,0.00240096038415366,0.000184689260319512,0.0173607904700342,0.00110813556191707,0.000369378520639025,0.00110813556191707,0.00480192076830732,0.00415550835718903,0.000646412411118293,0,0,0,0,0,9.23446301597562e-05,0,0,0,0,0.00120048019207683
6,"Arkansas","Cities","Ashdown",4616,"South Central (West)","AR",0.0717071057192374,0.0116984402079723,0.0519930675909879,0.0080155979202773,0.0110485268630849,0.00151646447140381,0.00931542461005199,0.000216637781629116,0,0,0,0,0,0,0,0,0.000649913344887348,0.000649913344887348,0,0,0,0,0,0,0.000216637781629116,0,0.00411611785095321,0.00194974003466205,0.0106152512998267,0,0,0.00173310225303293,0.000433275563258232,0.000433275563258232,0.000866551126516464,0,0,0.0327123050259965,0,0,0.00953206239168111,0.00108318890814558,0,0.00108318890814558,0.000216637781629116,0.0207972270363951,0.000433275563258232,0.000216637781629116,0,0.00758232235701906,0.00693240901213172,0.000649913344887348,0,0,0,0,0,0,0,0,0,0,0.000433275563258232
7,"Arkansas","Cities","Ash Flat",1069,"South Central (West)","AR",0.0346117867165575,0.00561272217025257,0.0215154349859682,0.00748362956033676,0.00467726847521048,0,0.00280636108512629,0.00187090739008419,0.000935453695042095,0.000935453695042095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00374181478016838,0,0.000935453695042095,0,0,0.000935453695042095,0,0.000935453695042095,0,0,0,0.0149672591206735,0,0,0.00654817586529467,0.00280636108512629,0,0.000935453695042095,0,0.00467726847521048,0.000935453695042095,0,0,0.00748362956033676,0.00748362956033676,0,0,0,0,0,0,0,0,0,0,0,0
8,"Arkansas","Cities","Atkins",3036,"South Central (West)","AR",0.0553359683794466,0.00988142292490119,0.0444664031620553,0.000988142292490119,0.00988142292490119,0.000658761528326746,0.00461133069828722,0.00461133069828722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00955204216073781,0.00230566534914361,0.00395256916996047,0,0,0.000988142292490119,0,0.000658761528326746,0.000329380764163373,0,0,0.0250329380764163,0,0,0.000658761528326746,0.00461133069828722,0.000329380764163373,0.00296442687747036,0.000329380764163373,0.0161396574440053,0.00197628458498024,0,0.000658761528326746,0.000658761528326746,0.000658761528326746,0,0,0,0,0,0,0,0,0,0,0,0.000329380764163373
9,"Arkansas","Cities","Bald Knob",2931,"South Central (West)","AR",0.110201296485841,0.017741385192767,0.0764244285226885,0.0160354827703855,0.0170590242238144,0.000682360968952576,0.00648242920504947,0.00989423404981235,0,0,0,0,0,0,0,0.000341180484476288,0.000341180484476288,0.000341180484476288,0,0,0,0,0,0,0.000341180484476288,0,0.00955305356533606,0.00102354145342886,0.015353121801433,0,0,0.00102354145342886,0.000341180484476288,0.000682360968952576,0,0,0,0.0429887410440123,0.000341180484476288,0,0.00307062436028659,0.00477652678266803,0.000341180484476288,0.00682360968952576,0.00102354145342886,0.0266120777891505,0.00307062436028659,0,0.00307062436028659,0.0139883998635278,0.0112589559877175,0.0027294438758103,0,0,0,0,0,0,0,0,0,0,0.00204708290685773
